USER,COURSE_ID,SCORE
37465,RP0105EN,27.0
37465,GPXX06RFEN,12.0
37465,CC0271EN,15.0
37465,BD0145EN,24.0
37465,DE0205EN,15.0
37465,TMP0105EN,27.0
37465,DB0113EN,12.0
37465,RP0103,12.0
37465,RP0103EN,12.0
37465,BD0212EN,27.0
37465,SC0103EN,27.0
37465,GPXX0BUBEN,12.0
37465,BD0143EN,24.0
37465,BD0141EN,24.0
37465,TA0106EN,18.0
37465,GPXX01RYEN,12.0
37465,GPXX0XFQEN,12.0
37465,GPXX07REN,12.0
37465,GPXX0725EN,12.0
37465,GPXX0MIIEN,12.0
37465,BD0223EN,15.0
37465,GPXX06ZLEN,12.0
37465,GPXX0LLEEN,15.0
37465,BD0121EN,24.0
37465,BD0135EN,15.0
37465,BD0133EN,15.0
37465,BD0131EN,24.0
37465,BD0137EN,15.0
37465,GPXX0NHZEN,12.0
37465,DJ0101EN,15.0
37465,DB0111EN,12.0
37465,DB0115EN,12.0
37465,DB0151EN,24.0
37465,GPXX0M6UEN,24.0
37465,GPXX097UEN,24.0
37465,DS0301EN,12.0
37465,BD0221EN,12.0
37465,GPXX0TY1EN,18.0
37465,GPXX0T3CEN,15.0
37465,BD0123EN,15.0
37465,DB0101EN,12.0
37465,GPXX0G31EN,15.0
37465,GPXX0RQLEN,12.0
37465,excourse01,12.0
37465,excourse02,15.0
37465,excourse03,24.0
37465,excourse04,18.0
37465,excourse05,24.0
37465,excourse06,18.0
37465,excourse07,12.0
37465,excourse10,24.0
37465,excourse11,12.0
37465,excourse12,12.0
37465,excourse13,12.0
37465,excourse14,12.0
37465,excourse31,27.0
37465,excourse42,24.0
37465,excourse67,12.0
37465,excourse68,12.0
37465,excourse69,12.0
37465,excourse70,24.0
37465,excourse71,24.0
37465,excourse72,27.0
37465,excourse73,27.0
37465,excourse74,12.0
37465,excourse75,15.0
37465,excourse76,12.0
85625,ML0201EN,12.0
85625,GPXX0ZG0EN,12.0
85625,RP0105EN,54.0
85625,GPXX0Z2PEN,12.0
85625,GPXX06RFEN,30.0
85625,GPXX0SDXEN,12.0
85625,CC0271EN,30.0
85625,GPXX0W7KEN,12.0
85625,GPXX0QR3EN,12.0
85625,DE0205EN,42.0
85625,OS0101EN,12.0
85625,CC0210EN,12.0
85625,HCC104EN,12.0
85625,GPXX0A1YEN,12.0
85625,TMP0105EN,54.0
85625,DB0113EN,30.0
85625,PHPM002EN,12.0
85625,RP0103,30.0
85625,RP0103EN,30.0
85625,BD0212EN,54.0
85625,SECM03EN,12.0
85625,SC0103EN,54.0
85625,GPXX0YXHEN,12.0
85625,SW0201EN,18.0
85625,GPXX0BUBEN,30.0
85625,SW0101EN,18.0
85625,CO0401EN,12.0
85625,TA0106EN,33.0
85625,GPXX0KV4EN,12.0
85625,GPXX01RYEN,30.0
85625,GPXX0XFQEN,30.0
85625,GPXX07REN,30.0
85625,BC0202EN,12.0
85625,BC0101EN,12.0
85625,GPXX0725EN,30.0
85625,GPXX0MIIEN,30.0
85625,BD0223EN,24.0
85625,GPXX06ZLEN,30.0
85625,GPXX0QS6EN,12.0
85625,GPXX0QJFEN,12.0
85625,GPXX0LLEEN,30.0
85625,GPXX04V3EN,12.0
85625,GPXX05P1EN,12.0
85625,GPXX0D14EN,18.0
85625,GPXX0G3KEN,12.0
85625,BD0211EN,54.0
85625,GPXX0HZ2EN,12.0
85625,GPXX04TNEN,12.0
85625,GPXX0IHMEN,12.0
85625,GPXX0E3QEN,12.0
85625,GPXX0XV3EN,12.0
85625,CB0105ENv1,12.0
85625,GPXX0NHZEN,30.0
85625,CO0301EN,12.0
85625,GPXX0HAAEN,12.0
85625,DJ0101EN,30.0
85625,DB0111EN,30.0
85625,DB0115EN,30.0
85625,COM001EN,12.0
85625,DB0151EN,54.0
85625,GPXX0T0FEN,12.0
85625,GPXX0I4FEN,12.0
85625,GPXX06KEEN,12.0
